Date,Open,High,Low,Close,Adj Close,Volume
2020-10-23,62250.0,63985.0,62130.69921875,63619.1015625,63616.52734375,31802
2020-10-26,63800.0,64319.8984375,62863.94921875,63280.44921875,63277.88671875,30884
2020-10-27,64546.0,69608.453125,63502.1015625,68202.6015625,68199.84375,88721
2020-10-28,68202.6015625,68202.6015625,65360.05078125,66844.546875,66841.84375,46839
2020-10-29,66000.0,68917.453125,65160.8984375,67298.3515625,67295.625,50267
2020-10-30,67748.0,68450.0,64600.05078125,65303.25,65300.60546875,51521
2020-11-02,65500.0,66637.203125,64760.05078125,66226.046875,66223.3671875,32674
2020-11-03,66645.0,67999.0,66567.6484375,67676.25,67673.5078125,29445
2020-11-04,67320.25,69250.0,67223.5,68449.8515625,68447.078125,33722
2020-11-05,69000.0,69890.1015625,68208.046875,68568.5,68565.7265625,32905
2020-11-06,69250.0,69900.0,68139.8515625,68516.8515625,68514.078125,47996
2020-11-09,69100.0,70325.703125,68665.6015625,69841.046875,69838.21875,36658
2020-11-10,70444.0,70736.296875,68973.953125,69367.0,69364.1953125,36190
2020-11-11,69480.0,70490.0,67919.1484375,68589.1484375,68586.375,43328
2020-11-12,68999.0,69579.75,68650.0,69386.8984375,69384.09375,20708
2020-11-13,69500.0,72499.0,69450.0,71826.203125,71823.296875,48897
2020-11-17,72288.0,74650.0,71926.0,74095.453125,74092.453125,48299
2020-11-18,74095.453125,75400.0,72374.296875,75041.0,75041.0,62263
2020-11-19,74500.0,77399.0,74106.953125,76831.3515625,76831.3515625,64112
2020-11-20,76959.0,79500.0,76800.0,79069.3984375,79069.3984375,80370
2020-11-23,81160.0,81249.3984375,79200.046875,80114.5,80114.5,60161
2020-11-24,80300.0,80950.0,79100.546875,79840.1484375,79840.1484375,56578
2020-11-25,80800.0,80800.0,75653.0,76311.75,76311.75,52953
2020-11-26,77000.0,77543.953125,74305.25,75820.046875,75820.046875,77903
2020-11-27,76500.0,79228.953125,75300.0,77738.6484375,77738.6484375,281075
2020-12-01,79400.0,80102.3515625,77777.5,79564.296875,79564.296875,57627
2020-12-02,79800.0,80000.0,78631.953125,79781.25,79781.25,38286
2020-12-03,79773.296875,79800.0,78500.0,78894.6484375,78894.6484375,28657
2020-12-04,79399.953125,79600.0,78200.0,78698.1484375,78698.1484375,35870
2020-12-07,77887.296875,79995.0,77887.296875,79527.6484375,79527.6484375,25469
2020-12-08,79600.0,79984.296875,78862.796875,79161.796875,79161.796875,23532
2020-12-09,79495.0,79600.796875,78000.046875,78371.296875,78371.296875,18683
2020-12-10,78499.0,78745.3515625,77350.1015625,77615.203125,77615.203125,22452
2020-12-11,77990.0,78396.703125,77300.0,77878.3515625,77878.3515625,20832
2020-12-14,78400.0,78400.0,77300.0,77547.6484375,77547.6484375,15865
2020-12-15,77547.6484375,77800.0,76800.0,77286.3515625,77286.3515625,14509
2020-12-16,77383.0,79180.3984375,77380.0,78618.8515625,78618.8515625,29876
2020-12-17,78625.0,79166.296875,77000.0,77291.1484375,77291.1484375,19833
2020-12-18,77900.0,78190.0,76850.0,77571.546875,77571.546875,34069
2020-12-21,77638.0,77793.1484375,74545.453125,75277.703125,75277.703125,24201
2020-12-22,75477.0,76709.8515625,73777.75,76096.3515625,76096.3515625,27697
2020-12-23,76000.0,76850.0,75406.3984375,75854.8515625,75854.8515625,15368
2020-12-24,76400.0,76549.953125,75550.0,75892.3515625,75892.3515625,14445
2020-12-28,76100.0,76840.203125,75008.8515625,75366.703125,75366.703125,18088
2020-12-29,75899.0,76000.0,74860.0,75677.546875,75677.546875,14694
2020-12-30,75561.046875,77672.75,75300.0,76925.1015625,76925.1015625,16171
2020-12-31,76600.0,77339.953125,75310.1484375,75750.453125,75750.453125,28028
2021-01-01,76000.0,76334.3515625,75550.0,76021.6484375,76021.6484375,13254
2021-01-04,76200.6484375,78900.0,75900.0,78402.203125,78402.203125,28145
2021-01-05,77800.0,79373.0,77700.0,79053.0,79053.0,25539
2021-01-06,79053.0,79800.0,77619.203125,78752.25,78752.25,30427
2021-01-07,79500.0,79500.0,77000.0,77332.6015625,77332.6015625,21765
2021-01-08,77780.0,81399.0,77600.0,80602.1015625,80602.1015625,31729
2021-01-11,80700.0,83000.0,80500.0,82507.8984375,82507.8984375,48475
2021-01-12,82400.0,87000.0,81712.3984375,85746.8984375,85746.8984375,87936
2021-01-13,86200.0,87399.953125,85300.0,85642.296875,85642.296875,57619
2021-01-14,86300.0,89938.1015625,85785.0,88749.6484375,88749.6484375,55671
2021-01-15,89150.0,89823.8984375,86401.296875,87551.75,87551.75,57495
2021-01-18,87800.0,88165.6015625,85111.25,85661.8515625,85661.8515625,30785
2021-01-19,86150.0,88005.703125,86150.0,87197.546875,87197.546875,21305
2021-01-20,87800.0,94120.1484375,87600.6015625,93081.5,93081.5,80494
2021-01-21,93600.0,96479.703125,90602.0,91712.8984375,91712.8984375,111415
2021-01-22,92444.0,94345.953125,91420.0,92305.953125,92305.953125,90867
2021-01-25,93879.953125,93879.953125,89205.1015625,89638.3515625,89638.3515625,60275
2021-01-27,90100.0,90177.25,87510.0,88577.75,88577.75,58528
2021-01-28,88100.0,89411.6015625,87122.75,87487.703125,87487.703125,51944
2021-01-29,88499.1015625,89388.0,83455.703125,84069.1484375,84069.1484375,56240
2021-02-01,84888.0,88798.6015625,83900.046875,88133.6484375,88133.6484375,46017
2021-02-02,89450.0,91949.8984375,88926.8515625,90745.953125,90745.953125,51519
2021-02-03,91583.203125,93278.3515625,89500.046875,89963.5,89963.5,44550
2021-02-04,90999.8984375,93780.0,89964.0,92181.953125,92181.953125,63583
2021-02-05,93318.296875,93566.953125,90272.1484375,90693.046875,90693.046875,49120
2021-02-08,92249.8984375,92551.25,90000.0,90870.75,90870.75,36568
2021-02-09,91495.0,94699.0,90400.0,93597.8984375,93597.8984375,69603
2021-02-10,93852.0,97880.796875,92750.0,96973.8515625,96973.8515625,72305
2021-02-11,96770.0,98599.953125,89120.0,90084.703125,90084.703125,182954
2021-02-12,92000.0,93480.0,90085.0,91278.046875,91278.046875,138059
2021-02-15,92373.3984375,92450.0,90800.0,91128.296875,91128.296875,40712
